iter	Passed	Remaining
892	121489	14557
893	121605	14418
894	121718	14279
895	121830	14141
896	121962	14004
897	122071	13865
898	122189	13727
899	122306	13589
900	122444	13453
901	122569	13316
902	122687	13179
903	122797	13040
904	122908	12902
905	123035	12765
906	123146	12626
907	123264	12489
908	123389	12352
909	123521	12216
910	123655	12080
911	123807	11946
912	123973	11813
913	124126	11679
914	124257	11543
915	124479	11415
916	124716	11288
917	124871	11154
918	125068	11023
919	125192	10886
920	125388	10755
921	125656	10630
922	125837	10497
923	125999	10363
924	126135	10227
925	126295	10092
926	126481	9960
927	126645	9825
928	126814	9691
929	126962	9556
930	127117	9421
931	127292	9287
932	127443	9151
933	127595	9016
934	127767	8882
935	127899	8745
936	128063	8610
937	128194	8473
938	128327	8336
939	128526	8203
940	128693	8069
941	128870	7934
942	129033	7799
943	129195	7664
944	129336	7527
945	129501	7392
946	129643	7255
947	129796	7119
948	129949	6983
949	130098	6847
950	130245	6710
951	130409	6575
952	130596	6440
953	130814	6307
954	130955	6170
955	131109	6034
956	131245	5897
957	131476	5764
958	131765	5633
959	131926	5496
960	132077	5360
961	132234	5223
962	132395	5086
963	132596	4951
964	132873	4819
965	133064	4683
966	133217	4546
967	133399	4409
968	133590	4273
969	133778	4137
970	133949	4000
971	134163	3864
972	134326	3727
973	134539	3591
974	134775	3455
975	134956	3318
976	135146	3181
977	135283	3043
978	135484	2906
979	135678	2768
980	135907	2632
981	136096	2494
982	136287	2356
983	136490	2219
984	136684	2081
985	136907	1943
986	137084	1805
987	137315	1667
988	137527	1529
989	137702	1390
990	137885	1252
991	138064	1113
992	138252	974
993	138416	835
994	138618	696
995	138827	557
996	138988	418
997	139163	278
998	139335	139
999	139556	0
