iter	Logloss
0	0.6896078648
1	0.6858845246
2	0.6823831216
3	0.679048636
4	0.6759026845
5	0.6724930299
6	0.6687295376
7	0.6651416681
8	0.6621164175
9	0.6590790382
10	0.6561876933
11	0.6534272707
12	0.6507310134
13	0.6480173942
14	0.6451165615
15	0.6422578861
16	0.6396353306
17	0.6367746011
18	0.6340850439
19	0.631234976
20	0.6286501762
21	0.6258096939
22	0.6230396369
23	0.6209374452
24	0.6185845595
25	0.6163342794
26	0.6136287787
27	0.6113826067
28	0.6091815264
29	0.6068726075
30	0.6044176542
31	0.602452107
32	0.6003710429
33	0.598174462
34	0.5963683495
35	0.5942594088
36	0.5924016512
37	0.5903822092
38	0.5885623052
39	0.5866763775
40	0.5848717323
41	0.583079656
42	0.5814134647
43	0.5795299823
44	0.5778948955
45	0.5761872316
46	0.5745027982
47	0.5729125585
48	0.5712831937
49	0.5694148235
50	0.5679605435
51	0.5663237939
52	0.5646867997
53	0.5632089468
54	0.561610393
55	0.5597614875
56	0.5583278949
57	0.5568340497
58	0.555509714
59	0.5541900244
60	0.5529765594
61	0.551683377
62	0.5503292573
63	0.5487135863
64	0.5472859603
65	0.5459720905
66	0.5448746314
67	0.5436612643
68	0.5423633869
69	0.5410804749
70	0.5397558946
71	0.5386834756
72	0.5372797159
73	0.5362428029
74	0.5351940546
75	0.5340807499
76	0.532976444
77	0.5319793408
78	0.5309965672
79	0.530111264
80	0.5285753103
81	0.5273331862
82	0.5264241145
83	0.5256252289
84	0.5244750977
85	0.5235708677
86	0.5225983644
87	0.5214811472
88	0.5205352979
89	0.5196074461
90	0.5185152201
91	0.51751127
92	0.5166384379
93	0.5159896459
94	0.5151855273
95	0.5142568931
96	0.5133707095
97	0.5126134432
98	0.5115773128
99	0.5109008398
100	0.5101221525
101	0.5093020415
102	0.508530739
103	0.5074578799
104	0.5066852081
105	0.5059141501
106	0.5053763756
107	0.5047204433
108	0.5040200062
109	0.5034160125
110	0.502614437
111	0.5017371544
112	0.5010444935
113	0.5003580925
114	0.4998267247
115	0.4989953652
116	0.4982910156
117	0.497519273
118	0.4967640119
119	0.4960353558
120	0.4951579754
121	0.49437518
122	0.4936785576
123	0.4930918278
124	0.4924540397
125	0.4918624682
126	0.4912307935
127	0.4906185346
128	0.4899738996
129	0.4892764947
130	0.4887886047
131	0.4883463444
132	0.487719169
133	0.4871536157
134	0.4866007291
135	0.4860833975
136	0.4853807107
137	0.4847825857
138	0.4842792902
139	0.4837389237
140	0.4833359352
141	0.4827510638
142	0.4821369954
143	0.4814438453
144	0.4806685814
145	0.4800600394
146	0.4794141329
147	0.4786926661
148	0.4780219151
149	0.4773295476
150	0.4768392123
151	0.4764107924
152	0.4759694124
153	0.4754458696
154	0.4749689347
155	0.4745730376
156	0.4742528475
157	0.4737077371
158	0.473298782
159	0.4729359945
160	0.4722825075
161	0.4718977121
162	0.4714849423
163	0.4711709634
164	0.4705248613
165	0.4701397725
166	0.4698014871
167	0.4691251608
168	0.4687607594
169	0.4683246613
170	0.4677150922
171	0.4672555679
172	0.4669142503
173	0.4662801791
174	0.4658484337
175	0.4654682844
176	0.4648180252
177	0.4642018538
178	0.4637301518
179	0.4634348551
180	0.4630147983
181	0.4627560347
182	0.4622854086
183	0.461936266
184	0.4613330548
185	0.4609051729
186	0.4605757884
187	0.4603147262
188	0.4597844833
189	0.4593618344
190	0.4590820899
191	0.4586732326
192	0.4583699642
193	0.457976757
194	0.4576435089
195	0.4573225364
196	0.4569353935
197	0.45654336
198	0.4560961601
199	0.4558117206
200	0.4554644854
201	0.45513872
202	0.4547283466
203	0.4544233664
204	0.4541739439
205	0.4537256192
206	0.4531187889
207	0.452670562
208	0.4523946322
209	0.4520838322
210	0.4517721518
211	0.4513982137
212	0.4512052291
213	0.4508228791
214	0.4505960513
215	0.4501829392
216	0.4497244419
217	0.4494163807
218	0.4491370274
219	0.4487287081
220	0.4482797476
221	0.4478426713
222	0.4475828317
223	0.4474012913
224	0.4470885839
225	0.4468209193
226	0.4464521164
227	0.4461313883
228	0.4459319971
229	0.4454082587
230	0.445035103
231	0.444633924
232	0.4442339677
233	0.4439141689
234	0.4435207171
235	0.4432121668
236	0.4426242633
237	0.4423993429
238	0.4420508849
239	0.4417499151
240	0.4415089534
241	0.4412189386
242	0.4410603841
243	0.440852043
244	0.4405107743
245	0.4401863783
246	0.439864232
247	0.4394879463
248	0.439152742
249	0.4387746958
250	0.4383729788
251	0.4380881481
252	0.4378148592
253	0.4374523652
254	0.4371364789
255	0.4369046138
256	0.4364852905
257	0.4362248641
258	0.4357290023
259	0.4356133877
260	0.4351923527
261	0.434882433
262	0.4346350645
263	0.4343115
264	0.4339935107
265	0.4336668161
266	0.4332353641
267	0.4328486125
268	0.4325409425
269	0.4322295556
270	0.4320353484
271	0.4316407228
272	0.4312439943
273	0.4309154413
274	0.430595887
275	0.4302694859
276	0.4299091437
277	0.4295629844
278	0.429333858
279	0.4289481334
280	0.4286934779
281	0.4284168146
282	0.4280595046
283	0.427699358
284	0.4273264958
285	0.4269584265
286	0.4266655262
287	0.4263530633
288	0.4261282896
289	0.425863804
290	0.4255171556
291	0.4251066355
292	0.4249202533
293	0.4245182918
294	0.4242659838
295	0.4241251334
296	0.4238087581
297	0.4235086686
298	0.4231095925
299	0.4229675195
300	0.4228185996
301	0.4223299271
302	0.4220720438
303	0.4218302018
304	0.4216659742
305	0.4215060503
306	0.4212339352
307	0.4210911286
308	0.4206292568
309	0.4204090803
310	0.4201507568
311	0.4199544466
312	0.4198222038
313	0.4195642716
314	0.4194060106
315	0.4190821036
316	0.418840604
317	0.4186276167
318	0.4184738061
319	0.4183020959
320	0.4181551811
321	0.4177231422
322	0.4174635471
323	0.417130886
324	0.4169178498
325	0.4166433383
326	0.4164230151
327	0.416079888
328	0.4157698705
329	0.4156711774
330	0.4154225374
331	0.4153231107
332	0.4150555439
333	0.4149011465
334	0.4147422497
335	0.4146124033
336	0.4141580631
337	0.413778354
338	0.4135227692
339	0.4133796692
340	0.4131139119
341	0.4128749554
342	0.412604601
343	0.4124568548
344	0.4122469975
345	0.4118368687
346	0.4115481254
347	0.4113343068
348	0.4110335326
349	0.4107195047
350	0.4105026049
351	0.4102630615
352	0.4101023063
353	0.4098213147
354	0.4095279498
355	0.4092558836
356	0.4089724712
357	0.4086844126
358	0.4083857659
359	0.4080999325
360	0.4077851467
361	0.4076175934
362	0.4074575962
363	0.4071430793
364	0.4069524178
365	0.406659542
366	0.4063718258
367	0.406196472
368	0.406000333
369	0.405653709
370	0.4054159507
371	0.4051996867
372	0.4050381978
373	0.4048125438
374	0.4045573748
375	0.4043844663
376	0.4040763562
377	0.4038678194
378	0.4036779159
379	0.4035887351
380	0.4032493983
381	0.4028916726
382	0.4026481433
383	0.4023775932
384	0.4020495537
385	0.4017862173
386	0.4016005687
387	0.4013755016
388	0.4010344774
389	0.4008786373
390	0.4006607349
391	0.4003955645
392	0.4002508995
393	0.3998761299
394	0.3996174152
395	0.3994643872
396	0.3992316662
397	0.3990278244
398	0.3986902481
399	0.3984809778
400	0.3982676482
401	0.3981485122
402	0.3979299985
403	0.3978220133
404	0.3975107242
405	0.3972712786
406	0.3970563106
407	0.3969686459
408	0.3967577127
409	0.3964913197
410	0.3962993133
411	0.3959003351
412	0.3955832261
413	0.3951626313
414	0.395029337
415	0.3947875683
416	0.394643319
417	0.3943467262
418	0.3940272698
419	0.3939085251
420	0.3937194286
421	0.3935202085
422	0.3932264524
423	0.3929984264
424	0.3928541037
425	0.392668235
426	0.392477329
427	0.3922528976
428	0.391846021
429	0.3916684664
430	0.3915418478
431	0.3912649888
432	0.3908829078
433	0.3906920017
434	0.3904340695
435	0.3903062772
436	0.3900928008
437	0.3899038266
438	0.3896671931
439	0.3894609305
440	0.3893055549
441	0.388990231
442	0.3888021127
443	0.3884765185
444	0.3882423303
445	0.3880590292
446	0.3878619365
447	0.3875761766
448	0.3873134515
449	0.3871247463
450	0.3868114765
451	0.3865869473
452	0.3863296753
453	0.3860745063
454	0.3858263065
455	0.3855231603
456	0.3852393566
457	0.3851068937
458	0.3848507465
459	0.384615189
460	0.3843956483
461	0.3842022725
462	0.3840041038
463	0.3836637155
464	0.383492103
465	0.3832678673
466	0.3830577166
467	0.3828498645
468	0.382561268
469	0.3822993254
470	0.3819703078
471	0.3817670284
472	0.3814168099
473	0.381112441
474	0.3809911777
475	0.380882899
476	0.3807199185
477	0.3804869285
478	0.3801326996
479	0.3798664044
480	0.3797976176
481	0.3795735775
482	0.3793231768
483	0.3791467226
484	0.3788954906
485	0.3786670489
486	0.3786041064
487	0.3782236637
488	0.3781308883
489	0.3777953417
490	0.3774038706
491	0.3771085495
492	0.3768633818
493	0.3766904244
494	0.376484064
495	0.3762424176
496	0.3760916392
497	0.37587628
498	0.3757486343
499	0.375585067
500	0.3753522237
501	0.3751353973
502	0.3749990463
503	0.3748039099
504	0.3746060347
505	0.3745093468
506	0.3741912108
507	0.3739314935
508	0.3738083228
509	0.3735682659
510	0.373457982
511	0.3731426337
512	0.372940308
513	0.3728059133
514	0.3726119017
515	0.3724794632
516	0.3723476116
517	0.3722329751
518	0.3720786755
519	0.3718337035
520	0.3714536031
521	0.3713873594
522	0.3712845827
523	0.3711531223
524	0.3709975512
525	0.3708630097
526	0.3705966656
527	0.3703218362
528	0.3700255859
529	0.3698534843
530	0.3696865669
531	0.3695362776
532	0.3691758376
533	0.3689094935
534	0.3688215598
535	0.3686261299
536	0.3683416171
537	0.3681256465
538	0.3678543873
539	0.3677118742
540	0.3675814409
541	0.3672868044
542	0.3671047504
543	0.3668622726
544	0.3667117143
545	0.3664510433
546	0.3660698426
547	0.3658152849
548	0.3656506905
549	0.3654035422
550	0.3652822299
551	0.3650856507
552	0.3649803064
553	0.364694253
554	0.3645677567
555	0.36444977
556	0.3642137479
557	0.3640725552
558	0.3638327183
559	0.363721603
560	0.3634837468
561	0.3632054696
562	0.3629721128
563	0.3627935067
564	0.3626525096
565	0.3624504285
566	0.3622509638
567	0.3620175093
568	0.3618172866
569	0.3615195201
570	0.3612815661
571	0.3610188411
572	0.3609076524
573	0.3607110244
574	0.3605411725
575	0.360421303
576	0.3602615503
577	0.3599804854
578	0.3599034334
579	0.3597389612
580	0.3595099816
581	0.3593945136
582	0.3592324379
583	0.3589296096
584	0.3586866917
585	0.3584629206
586	0.3582197336
587	0.3579722673
588	0.3578287027
589	0.3576386281
590	0.3573671732
591	0.3570770117
592	0.3569395114
593	0.3566609896
594	0.3564823102
595	0.3563064184
596	0.3561519232
597	0.3558899806
598	0.3556404847
599	0.3554901221
600	0.3553427672
601	0.3551741624
602	0.3549843324
603	0.3548404009
604	0.3546328667
605	0.3544650689
606	0.3543150731
607	0.3541115981
608	0.3538586543
609	0.353726118
610	0.3535072131
611	0.3532394018
612	0.3530419423
613	0.3529079633
614	0.3527395786
615	0.3525486481
616	0.3523188615
617	0.3520715176
618	0.351959742
619	0.3518008697
620	0.3516086187
621	0.3514430462
622	0.3511646466
623	0.3509987073
624	0.3508699368
625	0.350748111
626	0.3505786015
627	0.3504745777
628	0.3502573845
629	0.350107193
630	0.3499619166
631	0.3497581482
632	0.3494908749
633	0.3493508314
634	0.3491881933
635	0.3489881662
636	0.3488558989
637	0.3486808386
638	0.3484854087
639	0.3483760051
640	0.3482627624
641	0.3480122884
642	0.3478444906
643	0.3475646239
644	0.3472323295
645	0.3470522563
646	0.3468162341
647	0.3466295096
648	0.346517514
649	0.3463707948
650	0.3462126561
651	0.3459569735
652	0.3457241547
653	0.3456627283
654	0.3453572347
655	0.3451031416
656	0.3449193514
657	0.3446993706
658	0.3444857964
659	0.3442632235
660	0.3440933961
661	0.3438907525
662	0.3437270874
663	0.3434769802
664	0.3432172629
665	0.3429806049
666	0.3427952008
667	0.3427001757
668	0.3422553234
669	0.3419858981
670	0.3417301667
671	0.3415476481
672	0.3413485992
673	0.3410848471
674	0.3409876212
675	0.3407437251
676	0.3405934358
677	0.3404608995
678	0.3400926345
679	0.3398236495
680	0.3396320832
681	0.3395040708
682	0.339303897
683	0.339155784
684	0.3390121704
685	0.3388847693
686	0.3387772487
687	0.3386552762
688	0.3384272257
689	0.3381905678
690	0.3380249708
691	0.337900553
692	0.3378086579
693	0.3376085819
694	0.3374474354
695	0.3374042511
696	0.3372372847
697	0.3371277834
698	0.3369700848
699	0.3368855501
700	0.3366855719
701	0.3364370053
702	0.3362048222
703	0.3360343835
704	0.3357776251
705	0.335638731
706	0.3355283248
707	0.3353833663
708	0.3352403396
709	0.3350237333
710	0.334757976
711	0.3345331534
712	0.3341842064
713	0.3340062851
714	0.3338219569
715	0.3335609925
716	0.3334080134
717	0.3332405335
718	0.3331128634
719	0.3329394414
720	0.3328253428
721	0.3326826096
722	0.3324576647
723	0.3321604117
724	0.3320131546
725	0.3319874788
726	0.331719374
727	0.3315419906
728	0.331420605
729	0.3312878731
730	0.331162575
731	0.3309498567
732	0.3308369563
733	0.3306402304
734	0.3305489956
735	0.3303582363
736	0.330109474
737	0.3299508462
738	0.3296616383
739	0.3294791686
740	0.3293385628
741	0.3291721344
742	0.3288966937
743	0.328499256
744	0.3283664508
745	0.328179335
746	0.3279965474
747	0.3278186016
748	0.3277241389
749	0.3275059186
750	0.3272572053
751	0.3271222237
752	0.3268917035
753	0.3267991482
754	0.3264672206
755	0.3262534753
756	0.3260803223
757	0.3258127066
758	0.3256612435
759	0.3255046453
760	0.3252410889
761	0.3251106311
762	0.3248874958
763	0.3247626378
764	0.3246133511
765	0.3244183858
766	0.3242831108
767	0.3240990272
768	0.3240112647
769	0.3237109062
770	0.3236508247
771	0.3234223586
772	0.3232501103
773	0.3230938545
774	0.3229333437
775	0.3228191474
776	0.3225663748
777	0.3224123197
778	0.3223086382
779	0.322156197
780	0.3218249786
781	0.3215413216
782	0.3213195312
783	0.3210918231
784	0.3208496387
785	0.3206801292
786	0.3205562005
787	0.3203169994
788	0.3201585427
789	0.3199177277
790	0.3198064657
791	0.3196263436
792	0.3194389343
793	0.3192508893
794	0.3191467187
795	0.3190487104
